epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,70.5146,0.58794,0.68049,1.11317,0.46351,1,0.58456,0.55471,0.54285,1.0207,0.95157,0.003268,0.003268,0.003268
70,71.3656,0.53572,0.64185,1.09708,0.4641,1,0.70181,0.62173,0.699,0.97213,1.05218,0.003169,0.003169,0.003169
71,72.2149,0.59727,0.67582,1.10748,0.46473,1,0.4975,0.44775,0.66402,1.02191,1.03979,0.00307,0.00307,0.00307
72,73.0833,0.54102,0.70255,1.09294,0.46436,1,0.64675,0.597,0.56194,1.0642,0.95174,0.002971,0.002971,0.002971
73,74.0127,0.54407,0.66334,1.08192,0.46173,1,0.59921,0.53929,0.68776,1.06839,1.03094,0.002872,0.002872,0.002872
74,74.851,0.55372,0.65939,1.08504,0.83166,0.5,0.81575,0.69385,0.8626,1.66874,1.23006,0.002773,0.002773,0.002773
75,75.7034,0.54027,0.6864,1.06322,0.82405,0.5,0.752,0.6016,0.84533,1.73807,1.25701,0.002674,0.002674,0.002674
76,76.5398,0.52648,0.61066,1.08509,0.47048,1,0.76894,0.69205,0.61356,0.92073,1.00977,0.002575,0.002575,0.002575
77,77.3806,0.54348,0.66343,1.10181,0.4738,1,0.77444,0.697,0.57062,0.86324,0.96234,0.002476,0.002476,0.002476
78,78.2256,0.57378,0.68818,1.12738,0.47103,1,0.76894,0.69205,0.79473,0.96781,1.13809,0.002377,0.002377,0.002377
79,79.0698,0.56032,0.70466,1.10351,0.47033,1,0.76894,0.61516,0.90712,0.99276,1.26901,0.002278,0.002278,0.002278
80,79.8995,0.51097,0.63734,1.075,0.46869,1,0.80194,0.72175,0.7126,0.90007,1.10581,0.002179,0.002179,0.002179
81,80.7147,0.46514,0.62538,1.03021,0.46774,1,0.88444,0.796,0.6099,0.92595,1.03953,0.00208,0.00208,0.00208
82,81.6689,0.49283,0.63718,1.05356,0.47117,1,0.66444,0.62575,0.51733,0.9228,0.95149,0.001981,0.001981,0.001981
83,82.5012,0.51073,0.60772,1.06938,0.4707,1,0.76894,0.69205,0.55012,0.88494,0.94215,0.001882,0.001882,0.001882
84,83.3449,0.4961,0.57344,1.07876,0.46997,1,0.98625,0.87112,0.62181,0.94391,0.98608,0.001783,0.001783,0.001783
85,84.1707,0.51859,0.61955,1.0702,0.46401,1,0.995,0.8625,0.66134,0.9777,1.00661,0.001684,0.001684,0.001684
86,85.0065,0.52168,0.71216,1.06008,0.46377,1,0.8795,0.75335,0.66493,1.00733,1.01939,0.001585,0.001585,0.001585
87,85.851,0.48722,0.59119,1.0718,0.46358,1,0.885,0.75775,0.65782,0.98047,1.02096,0.001486,0.001486,0.001486
88,86.6958,0.4845,0.58371,1.05634,0.46383,1,0.87075,0.74547,0.70809,0.97279,1.05376,0.001387,0.001387,0.001387
89,87.5131,0.4668,0.57139,1.03831,0.4641,1,0.8795,0.75335,0.74665,0.97051,1.08704,0.001288,0.001288,0.001288
90,88.3539,0.41641,0.5971,1.0168,0.46383,1,0.8795,0.75335,0.75917,0.97375,1.09414,0.001189,0.001189,0.001189
91,109.472,0.38204,0.63335,1.0696,0.46349,1,0.862,0.7376,0.74125,0.97354,1.09091,0.00109,0.00109,0.00109
92,110.341,0.32713,0.57697,1.01467,0.46327,1,0.70731,0.63163,0.7583,0.97156,1.14967,0.000991,0.000991,0.000991
93,111.233,0.30111,0.55394,0.99917,0.46406,1,0.66533,0.5988,0.75617,0.9587,1.15564,0.000892,0.000892,0.000892
94,112.083,0.3502,0.56734,1.05432,0.47009,1,0.76894,0.69205,0.69769,0.92767,1.0721,0.000793,0.000793,0.000793
95,112.988,0.3169,0.53986,0.99311,0.46991,1,0.74087,0.66679,0.63059,0.91862,0.97969,0.000694,0.000694,0.000694
96,113.865,0.29809,0.54337,1.00049,0.5,1,0.62536,0.56282,0.55509,0.90858,0.88891,0.000595,0.000595,0.000595
97,114.736,0.30647,0.54281,1.011,0.5,1,0.61475,0.55327,0.52056,0.91318,0.85154,0.000496,0.000496,0.000496
98,115.582,0.314,0.54684,0.99706,0.5,1,0.61475,0.55327,0.47683,0.90613,0.80205,0.000397,0.000397,0.000397
99,116.439,0.2747,0.53374,1.02189,0.5,1,0.67525,0.60772,0.45093,0.89276,0.76562,0.000298,0.000298,0.000298
100,117.327,0.27962,0.51822,0.98692,0.5,1,0.75146,0.67632,0.45627,0.87321,0.757,0.000199,0.000199,0.000199
